"V1","V2"
"U2af2","Mepce"
"Sh3glb2","Coasy"
"Stx4a","Tec"
"Dock6","Ilkap"
"Actn3","Ehd4"
"Grcc10","Plekhg1"
"Rab3gap2","Fcgr1"
"Nufip2","Nub1"
"Ppp3ca","Dctn6"
"Nufip2","Agpat4"
"Gbp9","Lrch3"
"Ahsa2","Cwc27"
"Psmb2","Hsd17b7"
"Atp5d","Snurf"
"Exoc1","Jagn1"
"Ikbkg","Mpst"
"Nol10","Ptpn11"
"Epc1","Armc6"
"Txnl1","Usp14"
"Gigyf2","Cyp4f13"
"Gbp9","Mtmr3"
"Asna1","Zfp703"
"Abcf2","Timm10"
"Rbbp5","Inpp5d"
"Armc6","Dhx16"
"Nacad","Ly75"
"Fam98c","Prps1l1"
"Epc2","Rcor1"
"Sf3a2","Tor1aip2"
"Nfatc1","Mcts1"
"Ddhd1","Pdk1"
"Dpm1","Atpif1"
"Nup85","Nup98"
"Esyt2","Aldh1a7"
"Abcf1","Chchd6"
"Chchd6","Mrto4"
"Rufy2","Dok2"
"Exosc10","Elovl1"
"Ero1lb","Ahcyl2"
"Max","Ppp1r3d"
"Pip4k2a","Ppfibp2"
"Sirpa","Xpnpep1"
"Homer1","Lrrc8c"
"Mapk8","Gstm4"
"Mrps23","Snx2"
"Atp6v1a","Ikzf1"
"Uck2","Rpl3"
"Sec62","Akr1b10"
"Pum1","Pus10"
"H13","Akap8"
"Glmn","Mlst8"
"Tbcb","Mlst8"
"Vapa","Hdgfrp2"
"Xpnpep1","Cd82"
"Paox","Ptprc"
"Ptprc","Add3"
"Dcakd","Map4k4"
"Stam2","Rnf214"
"Lypla1","Tmem173"
"Inppl1","Fscb"
"Pld3","Dpcd"
"Zwint","Arfrp1"
"Plekhg1","Tmed4"
"Eefsec","Med10"
"Sfpq","Evi2b"
"Polr2e","Axl"
"Pstpip2","Tceb1"
"Pag1","Lemd3"
"Cdk5rap3","Scaf4"
"Crot","Bcat2"
"Chchd6","Ascc1"
"Galk2","Appl1"
"Yif1b","Iqgap2"
"Sltm","Cwc27"
"Zc3h18","Nefh"
"Actn3","Arg2"
"Tmed4","Gm1604b"
"A230046K03Rik","Ash2l"
"Nrbp1","Rpl3"
"Sdhaf2","Pum2"
"Pycrl","Wdr13"
"Cnot1","Copg2"
"Ppp2r2d","Trappc6b"
"Rpl13a","Ralgapa1"
"Larp4","Tubg2"
"Cnot1","Anxa4"
"Thyn1","Rrp8"
"Fam107b","Prkx"
"Nab2","Kif1a"
"Clcc1","Dbnl"
"Unc45a","Sra1"
"Ints8","Fam114a2"
"Ankrd17","Gapdh"
"Xpnpep1","Denr"
"Scaf8","Zfr"
"Sod1","Eps15l1"
"Idua","2410016O06Rik"
"1810030O07Rik","Rpl21"
"Ndufa10","Pilrb2"
"2210016F16Rik","Pddc1"
"Sf3a1","Usp9x"
"Irak4","Smpdl3b"
"Cast","Myo5b"
"Rab23","Ipo11"
"Uba1","Arhgef7"
"Ppp2r5a","Trpv2"
"Cirbp","Arpc4"
"Eif4b","Vps8"
"Lypla1","Tmem173"
"Zc3h18","Coro1a"
"Pea15a","Rab5c"
"Magt1","Polr2l"
"Rbm12","Bod1l"
"Pea15a","Hps3"
"Erc1","Mon2"
"Rasa1","Idua"
"Atxn10","Mkrn1"
"Yif1b","Papss1"
"Gmeb1","Mdc1"
"2210016F16Rik","Sephs2"
"Denr","Tpi1"
"Ogt","Mib1"
"Bcat2","Nop2"
"E430025E21Rik","Impact"
"Yy2","Cops7b"
"Fkbp2","Leng8"
"Prkcq","Frg1"
"Ap2b1","Aldh18a1"
"Tmem115","Oas1g"
"Exoc1","Tssc4"
"Exoc1","Sf3b3"
"Exoc1","Txn2"
"Hist2h2ab","Lyz2"
"9130011E15Rik","Vav1"
"Fkbp1a","P2rx4"
"Prkar2b","Clpb"
"Scaf4","Ube2b"
"Ubr5","Actn2"
"Gab1","Gga1"
"Rab11fip2","Cep55"
"Irak4","Nolc1"
"Tubg2","Ankrd13a"
"Otub1","Mea1"
"Poldip3","0610009B22Rik"
"Gbp9","Jund"
"Uck2","Snx7"
"Mcfd2","Srsf12"
"Fcgr3","Erap1"
"5031439G07Rik","Aldh1a1"
"Rpl34","Zc3hav1"
"Vapb","Serpinb8"
"Gtf2i","Mrpl23"
"Gstp1","Smarca2"
"Mt2","Bicd1"
"Tmem11","Cnot2"
"Mlkl","Cops5"
"Dok2","Poldip3"
"Mef2c","Ptgs1"
"Nupl1","Gabbr1"
"Tep1","Plod3"
"Ints8","Plcl2"
"Ddx6","Igsf6"
"Dpysl4","Vti1a"
"Vti1a","Nefl"
"Ahnak","Copg2"
"Palm","Alkbh7"
"Idh1","Me2"
"Hnrnpu","Stat1"
"Nxt2","Bin2"
"Lima1","Mlst8"
"Clic1","Slc38a9"
"Haao","Mbnl1"
"Ifitm3","B4galnt1"
"Srrm2","Usp47"
"Nupl1","1700112E06Rik"
"Tyms","Nob1"
"Mylk","B3gnt2"
"Tusc1","Stk10"
"Nck1","Gmps"
"Acox3","Ano6"
"Nudt7","Arpp19"
"Riok1","Pisd"
"Eif3f","Gpn1"
"Prkab2","Pgd"
"Tbc1d9b","Mea1"
"Ndufa9","Aldh3a2"
"Dctn2","Ptpn9"
"Reps1","Pitpnm1"
"Vapa","Alad"
"Vapa","Coro1a"
"Snx12","Gtf2a2"
"Ecsit","Snx7"
"Impact","Msh6"
"Nxt2","Tdg"
"Isg15","Parp9"
"Cyb5r4","Cnbp"
"Atp5a1","Psma6"
"Ppp2r5a","Cul4a"
"Ndufa3","Myh14"
"Sharpin","Melk"
"Gga3","Nek8"
"Actbl2","Tmsb10"
"Gpd1l","Rps19"
"Pisd","Arl6ip4"
"Mylk","Parn"
"Gopc","Plcb3"
"Vps33a","Picalm"
"Mrto4","Anxa4"
"Cirbp","Wdr82"
"Smarcd3","Rhoc"
"Kpna6","Vps52"
"Gadd45gip1","Mettl1"
"Nrbp1","Ppp2cb"
"Trappc2l","Nrbp1"
"Mapk1","Pls1"
"Magt1","Ddx46"
"Trappc8","Smarca4"
"Son","Pfkm"
"Pfkm","Pdcd4"
"Lbr","Ccdc9"
"Fam76a","Apip"
"Pcf11","Yif1a"
"Ikbkg","Psmf1"
"Cyp4f16","Cdkn1a"
"Ppp3ca","Grcc10"
"Hmbs","Tsc22d4"
"Apoa1bp","Chd8"
"Cab39l","Prkd1"
"2210016F16Rik","Slc38a9"
"Gga1","Tmem11"
"Zc3h18","Dctn6"
"Actr3b","Strn3"
"Casp3","Faim"
"Zfx","Srsf1"
"Rpl34","Gpn1"
"Ipo9","Golph3l"
"Atp2a2","Pan2"
"AI314180","Prmt5"
"B4galnt1","Slfn2"
"Tor1aip2","Ncoa3"
"Pgd","Galnt10"
"Zfr","Rbm5"
"Pfkm","Ppp2r1b"
"Zc3h11a","Psmd5"
"Atad1","Mknk1"
"Cog1","Gbp5"
"Crot","Nop2"
"Dbr1","2200002D01Rik"
"Cog8","Fmr1"
"Stx8","Cd200r1"
"Gngt2","Nudt7"
"Ccnh","Commd10"
"Lrrk1","Eif5a2"
"Dnase2a","Fam76b"
"Hps3","Cetn3"
"Cetn3","Nefm"
"Taf15","Ppp2r5a"
"F8a","Mrps26"
"Trim30a","Suclg1"
"Map2k4","Tom1l2"
"Zfr","Pgd"
"Hccs","Recql"
"Tyms","Tmcc1"
"Galk2","Myof"
"Mapre3","Gnpda2"
"Vps8","Acadsb"
"Hist3h2a","Eif2d"
"Arhgap31","Myo1f"
"Irak4","Cd47"
"Cirbp","Fasn"
"Idua","Aspscr1"
"Glul","Stap1"
"Hira","Ube2e2"
"Cd68","Impdh1"
"Cd53","Ifit1"
"Fus","Sema4a"
"Hddc2","Wls"
"Ppp3ca","Cd151"
"Rbm15","Nipbl"
"Prmt5","Gipc2"
"Fam114a2","Anks6"
"Stk10","Lrp1"
"Rap1gds1","Tmem11"
"Ncoa5","Adrbk2"
"Ccl3","C1qa"
"Ccl3","Vps28"
"Ubp1","Itgb2"
"Myh14","Lsm12"
"Tcirg1","Ankrd44"
"Ankrd44","Arl3"
"Ikzf2","Runx3"
"Runx3","Cytip"
"Runx3","Hmgcl"
"B3gnt2","Setd7"
"Tgfbr1","Ppp1r12b"
"Ewsr1","1700112E06Rik"
"Hddc2","Homer3"
"Atp1a3","Ppp2r2a"
"Eif2s3y","Exoc5"
"Xrn1","Tfg"
"Ear1","Uggt2"
"Akr1c12","Atp6v1e1"
"Capg","Cttn"
"Pum2","Ccdc115"
"1810030O07Rik","Lamb1"
"Ppp1r2","Anxa6"
"Fmnl3","Dock8"
"Prkab2","Mapkapk3"
"Actn3","Itm2b"
"Cnot1","Prkd2"
"Cyfip2","Appl1"
"Ifit1","Myl6"
"Cdk19","Derl2"
"Skiv2l","Ehd2"
"Ly75","Polr3a"
"Gm16381","Pnpt1"
"Pnpt1","Arhgef6"
"Uck2","Psme2"
"Trim14","Ugt1a9"
"Scaper","Scamp1"
"Hnrnpa3","Rps6ka2"
"Rps6ka2","Runx1t1"
"Ski","Ipo8"
"Nup37","Anxa4"
"Ddx3y","Exosc1"
"Trim30a","Ifit3"
"Ide","Rai14"
"Timm10","Glrx"
"Nek6","Inpp4a"
"Rab1b","Ptpre"
"Mtmr3","Timm10"
"Tial1","Gvin1"
"Dpcd","Ap1s1"
"Rpl13","Arsa"
"Dbr1","Chordc1"
"Mogs","Nup188"
"Hmga1","Psma6"
"Rad23b","Eml3"
"Palm","Exosc4"
"Pisd","Pcbp4"
"Gstm4","Impdh1"
"Rpl3","N4bp1"
"Mthfr","Ykt6"
"Timm9","Vps37c"
"Thyn1","Nfkbie"
"Rps6kb1","Mcat"
"Atp1a3","BC017643"
"Nek8","Car13"
"Dbr1","Hccs"
"Actn3","Tubb2a"
"Chordc1","Atrx"
"Prpsap2","Eya3"
"Isyna1","Slc27a3"
"Ube2a","Psma4"
"Mrpl42","Prpf3"
"Prkaca","Rab13"
"Pus10","Mrpl1"
"Ncor2","Wdr61"
"Rbck1","Tubg2"
"Dnajc3","Ccdc124"
"Actn1","Sf3a2"
"Exosc10","Paox"
"Paox","Tial1"
"Max","Eml3"
"Dnpep","Scamp2"
"Tnfaip1","Ubfd1"
"Zbtb8os","Pus10"
"Ing4","Srgn"
"Eya3","Mark1"
"Mark1","Tollip"
"Mark1","Fam120a"
"Gda","Mfsd7b"
"Reps1","Celf1"
"Gngt2","Armc8"
"Osbp","Slc12a9"
"Uba3","Twf1"
"Prkd2","Rpl34-ps1"
"B4galnt1","Hnmt"
"Epc2","Csnk2b"
"Cd47","Cope"
"Ruvbl2","Zbtb7a"
"Nfam1","Map4k1"
"Ptpn18","Gcn1l1"
"Pabpc4","Tcea2"
"Smad4","Myg1"
"Prkcsh","Zbtb37"
"Ash2l","Iars"
"Dctn2","Ahcyl2"
"Med20","Zfyve16"
"Uchl5","Akt1s1"
"Srgn","D17H6S53E"
"Cnot2","Pafah1b3"
"Mthfr","Hyou1"
"Ehd2","Mavs"
"Dsp","Prtn3"
"Srsf4","Card11"
"Slc4a1ap","Aprt"
"Slmap","Stx7"
"Slk","Pbrm1"
"Arpc4","Prpf4b"
"Vps8","Copa"
"Dctn2","Clint1"
"Sh3glb2","Bak1"
"Slfn2","Irgm1"
"Dcp1a","Mtmr14"
"Lipa","Snx3"
"Ikzf1","Fkbp2"
"Fcgr1","Hnrnpa0"
"Psma2","Eno2"
"Got2","Mta3"
"Mrps34","Cox4i1"
"Pole3","Ubash3b"
"Mthfd1","Tbck"
"Tpt1","Ndufs3"
"2210016F16Rik","Ctsh"
"Prkab2","Eif4a2"
"Mrps26","Ddrgk1"
"Cd82","Tbc1d17"
"Ptprc","Tial1"
"Ralgapa1","Prpf8"
"Vps52","Ythdc1"
"Actn3","Rfk"
"Dnajc19","Mthfd2"
"U2af2","Ctnnd1"
"Impa2","Glyr1"
"Zadh2","Mrpl55"
"Gbp9","Cyp4f13"
"Mdc1","Flot2"
"F8a","Acot2"
"Larp4","Mtmr9"
"Dnpep","Mmp9"
"Mmp9","Zmiz2"
"Golga5","Tacc3"
"Med10","Trim12a"
"Lrrk1","Prex1"
"Bdh1","Setd1a"
"Chchd6","Rbm47"
"Mrpl14","Zfand5"
"Rnaseh2b","Ggh"
"Tbc1d17","Fam63b"
"Gnpnat1","Fam63b"
"Abcf1","Anxa4"
"Cog1","Pi4ka"
"Ncor2","Hnrnpc"
"N4bp1","Akr1c19"
"Map2k1","Thoc2"
"Pus7l","Gak"
"Gnaz","Xab2"
"Ascc1","Cdk4"
"Rabggtb","Sin3a"
"Mapk8","Ncor1"
"Exoc1","Get4"
"Bckdk","Pik3cg"
"Stat1","Clec4b1"
"Rhoc","Clec4b1"
"Clec4b1","Eif4ebp2"
"Acox3","Tfrc"
"Lyz2","Fcer1g"
"Zfx","Kctd12b"
"Gbp9","Timm10"
"Sirpa","Ranbp3"
"Sirpa","Arih1"
"Pafah1b2","Arhgef1"
"Pus10","Pfkfb3"
"Sirpa","Prpf8"
"Sirpa","Anxa4"
"Smad4","Ctsl"
"Vav1","Mea1"
"Adar","Chchd3"
"Chchd3","Csl"
"Khdrbs1","Morf4l2"
"Ggta1","Pik3c2a"
"Psmb2","Snx30"
"Prkd3","Xrn2"
"Taf15","Tpt1"
"Actbl2","Npepl1"
"Nucb2","Rad21"
"Exosc1","Smarce1"
"Etv6","Rexo2"
"Naa20","Fam111a"
"Homer1","Fam111a"
"Pcbp4","Pold3"
"Tgfb1","Wasf2"
"Thyn1","Oxr1"
"Cnot1","Rhoc"
"Taf15","Lemd2"
"Dpysl4","Ltf"
"Ifit2","Cpsf6"
"Actn3","Akr1b3"
"Ss18","Ccdc43"
"Dnajc24","Sub1"
"Ahnak","Rpl37"
"Rbbp5","Mrps26"
"Mapk8","Usf2"
"Ap2s1","Xpot"
"Mknk1","Gbp5"
"Raly","Ran"
"Mycbp","Spata5"
"Glmn","Hps3"
"Psma6","Hspa1b"
"Armc6","Dcp1a"
"Ifi47","Pdha1"
"Fbll1","Plek"
"Pex1","Mapk9"
"Magt1","Ddx46"
"Tbc1d22a","Agfg2"
"Acot1","Chchd2"
"Bnip1","Ociad1"
"Dync1h1","Ybx2"
"Ik","Dok1"
"Rufy2","Cops2"
"Tyms","Tmcc1"
"Ptpn12","Runx1"
"Runx1","Rpl10l"
"Runx1","Dlg1"
"Gigyf2","Lrch3"
"Chkb","Ergic1"
"Hnrnpc","Meaf6"
"Mthfd2","Kpna4"
"Polr2l","Snf8"
"Armc6","Taok3"
"Ikzf2","Vav1"
"Atpif1","Ncapd2"
"Gba","Zfp592"
"Gba","Larp4b"
"Actn3","Endod1"
"Pcyox1","Ube2v1"
"Timm10","Meaf6"
"Meaf6","Guk1"
"Tank","Nefh"
"Tufm","Hist1h2aa"
"Top2a","Tcerg1"
"Esd","Uvrag"
"Pea15a","Rpl3"
"Serhl","Brsk1"
"Ddx50","Opa1"
"Stat3","Dock5"
"Mrpl1","Wdr5b"
"Pnpo","Ube2q2"
"Pstpip2","Cbfa2t2"
"Tep1","Stat5b"
"Stat5b","Ehhadh"
"Mapk8","Cog4"
"Ralgapa1","Rhoc"
"Tsc22d4","Cdk2ap2"
"Ralgapa1","Brd2"
"Ralgapa1","Pgls"
"Atp5d","Samsn1"
"Cept1","Ak1"
"Cul4a","Ndufa4"
"Qtrt1","Rpe"
"E2f4","Cnot2"
"Ash2l","Mcm3ap"
"1110037F02Rik","Cpne5"
"9130011E15Rik","Sirt2"
"Lyz2","Pygm"
"Spryd3","Cblb"
"Marcksl1","Upf2"
"Mrps26","Lsm14b"
"Tyms","Rps2"
"Cpsf6","Map3k11"
"Nfatc1","Dok1"
"Nptn","Gna13"
"Gba","Ppp1cc"
"Btf3","Nol8"
"Papss1","Tbc1d17"
"Mtch2","Akap13"
"Cwc27","Kcnab2"
"Rpl34","Metap2"
"Tle2","Dnpep"
"Rnf214","Clasp2"
"Fam98a","Fam3a"
"Pank2","Shc1"
"Ddx46","Agfg2"
"Tpr","Gcc2"
"Myof","Fndc3a"
"Gpn1","Slain2"
"Acox3","Brd2"
"Cfl1","Zranb2"
"Lap3","Ppm1h"
"Rtn3","Pbxip1"
"Atp6ap1","Dtnbp1"
"Zc3h18","Acsf2"
"Add1","Ppp2r2b"
"Trappc2l","Uck2"
"Uck2","Nupl1"
"Uck2","Rbm14"
"Rnf123","Nbas"
"Nbas","Pald1"
"Nbas","Acat2"
"Rpl21","Galc"
"Ppp1cb","Rexo4"
"Exoc1","Snx7"
"Exoc1","Rbm14"
"Nefh","Rps6ka1"
"Mapk12","Ppil2"
"Becn1","Thbs1"
"Eif2s3y","Ints5"
"Zranb2","Lsm2"
"Mrto4","Hyou1"
"Cd53","Abcf2"
"Vapa","Leng8"
"Sec24a","Gas7"
"Parp9","Bcap31"
"Clec7a","Cdc37l1"
"Mrto4","Ranbp3"
"Snrpf","Arfgef2"
"Tra2b","Aarsd1"
"Usp16","Rps12"
"Smarca4","Capn1"
"U2af2","Arpc4"
"Naaa","Rps21"
"Uba1","Hnrnpa3"
"Sec16a","Agpat4"
"Ube2e2","Vps39"
"Msto1","Nmi"
"Hsd17b7","Rragb"
"Pycrl","Pdcl"
"Bola3","4930544G11Rik"
"Stxbp5","Man2a1"
"Mrto4","Pgls"
"Eif3f","Slc25a3"
"Trim25","Fcho1"
"Rab7","Upp1"
"Exoc1","Bag1"
"Lap3","Kif3b"
"Ccl3","Trim14"
"Phf10","Erlec1"
"Scaf1","Asph"
"Elovl1","Prrc2a"
"Ppp3ca","Myo5b"
"Myo5b","Chm"
"Rps19","Cog4"
"Nefl","Arhgap4"
"Timm10","Pgam1"
"Nudc","Saa3"
"Lipa","Uvrag"
"Mras","Ndufs2"
"Tpr","Asap1"
"Nipsnap1","Cr1l"
"Gstm1","Fscb"
"Napg","1700112E06Rik"
"Ggh","Myo1b"
"Shoc2","Agap3"
"Actn3","Sumf1"
"Axl","Cwf19l1"
"Zc3hav1","Polr2i"
"Zc3hav1","H2-Ke6"
"Gngt2","Nudt7"
"Uba1","Eif5a2"
"Prpf19","S100a9"
"Sfxn3","Dnajb4"
"Mtmr9","Actg1"
"Ak1","Cdc16"
"Rab12","Psmg4"
"Actn3","2210016F16Rik"
"Flcn","Tceb1"
"Iars2","Csf1r"
"Pdcd2l","Arhgap18"
"Ahnak","Anxa4"
"Parvb","Itgav"
"Thrap3","Ttpal"
"Nufip2","Sec16a"
"Gnai1","Mical1"
"Arpc4","Rabgap1"
"Pebp1","Pgam1"
"Pnkp","Napa"
"Pfdn2","Sdhb"
"Vps26b","Cyp51"
"Rps15","Cln5"
"Rpl13a","Denr"
"Ppp2r2a","Arhgdib"
"Idh2","Trabd"
"Denr","Rhoc"
"Arih1","Denr"
"Pgam1","Cox6c"
"Ube2l6","Ptpn1"
"Cnot2","Pgls"
"Gnpnat1","Cnot2"
"Cnot2","Tbc1d17"
"Slc38a9","Tmcc1"
"Eif3c","Mapk13"
"Rpl5","Tspan14"
"Wdr82","Fam49b"
"Picalm","Gnb2"
"Myo5b","Gsdmd"
"Pdk3","Zmynd8"
"Ephx1","Fam120c"
"H2-M2","Fgr"
"Apip","Sec23ip"
"Dap3","Fndc3a"
"Hnrnpa3","Tubb3"
"B3gnt2","Dopey2"
"Exosc5","Nudt21"
"Pea15a","Wdr61"
"Hpse","Pabpc5"
"Rbm15","Ggh"
"Pcbp1","BC100530"
"B4galnt1","Trim21"
"Ear1","Rbbp4"
"Glrx3","Mlkl"
"E430025E21Rik","Spr"
"Papss1","Snrnp200"
"Itgav","Tnpo2"
"Pfkfb3","Atf7ip"
"Gmip","Aldh3b1"
"Lemd2","Lsm1"
"Trim30a","Isg15"
"Hist1h2af","Flna"
"Clec7a","Ncoa5"
"Pycrl","Polrmt"
"Hirip3","Mtr"
"N4bp1","Creg1"
"Cyfip2","Zeb2"
"Ube2e2","Abcd3"
"Rgs19","Cbx1"
"Eif5a2","Tnip1"
"Ewsr1","1700112E06Rik"
"Chm","Utp6"
"Cetn3","Ppp2r2a"
"Tmsb10","Tsc22d3"
"Clec4a3","Txndc9"
"Gak","Rbm14"
"Smad4","Farsb"
"Lsm14b","Creg1"
"Atp1a3","Uba1"
"Abcf1","Brd2"
"Retnlg","Idh3g"
"Dazap1","Aldh3a2"
"2210016F16Rik","Uqcrfs1"
"Tsen54","Pik3r2"
"Paox","Arrb2"
"Denr","Hyou1"
"Ipo9","Gale"
"Gopc","Apobec3"
"Apobec3","Rnaseh2c"
"Tsc22d4","Rac3"
"B4galnt1","Gpn1"
"Cdk2ap1","Rxra"
"Ywhaq","Secisbp2"
"Casp7","U2af1l4"
"Eps15l1","Cstf1"
"Mina","Lsm7"
"Impact","Cstf3"
"Vps8","Cndp2"
"Safb2","Zfp592"
"U2af2","Slc25a22"
"Eefsec","Fblim1"
"Pcf11","Rpl12"
"Pcf11","Gale"
"Pcf11","Usp39"
"Pcf11","Prdx2"
"Trappc2l","Pcf11"
"Pcf11","Gna13"
"Serpinb8","Vps33a"
"2310022A10Rik","Serpinb8"
"Serpinb8","AI837181"
"Pcm1","Map3k2"
"Klf13","Med13l"
"Tmem9b","Hcfc1"
"Mcts1","Pla2g7"
"Pus10","Gas7"
"Ly75","Polr1a"
"Mcee","Cd274"
"Cd274","Stard5"
"Zc3h11a","N4bp1"
"Cdk16","Rabggta"
"Cul4a","U2af1l4"
"Rnf123","Scyl2"
"Tmsb10","Lims1"
"Xaf1","Wdr81"
"Eif4ebp2","Csnk1e"
"Ptgs1","Uba2"
"Larp4","Tubg2"
"Pus1","Dnajb6"
"Farsa","Gmppa"
"Prkcb","Pdyn"
"Pus7l","Pdyn"
"Mdc1","Pdyn"
"Pitpnm1","Ercc1"
"Fnbp1","Mapk14"
"Agl","Itga1"
"Ppp1r3d","2310011J03Rik"
"Nipbl","Plek"
"Nrbp1","Tssc4"
"Ggh","Eif3a"
"Preb","Hspbap1"
"Lck","Arhgap30"
"Nrbp1","Txn2"
"Pfkm","Pitpna"
"Rnmt","Pgm3"
"Rpl13","Ogdhl"
"Uck2","Vti1a"
"Gatad2a","Nrbp1"
"Ddx6","Smarce1"
"Pik3cg","Mtr"
"Itm2b","Gna13"
"Rap1b","Dnajc1"
"Mt2","Pik3cg"
"Rap1gds1","Stam"
"Pea15a","Gla"
"Rnf13","Taf6"
